command_index,manifest,status,exit_code,start_time,end_time,duration_seconds,stdout_log,stderr_log,command
"1","domain_count_clean_seed3.txt","success","0","2026-08-29T20:18:18.7799525+02:00","2026-08-29T20:22:53.6570164+02:00","274.88","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_001.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_001.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm erm --steps 600 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 0"
"2","domain_count_clean_seed3.txt","success","0","2026-08-29T20:22:53.6672003+02:00","2026-08-29T20:27:25.1428089+02:00","271.48","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_002.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_002.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm irm --steps 600 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --penalty_weight 1000 --save_ckpts"
"3","domain_count_clean_seed3.txt","success","0","2026-08-29T20:27:25.1464961+02:00","2026-08-29T20:31:54.1805381+02:00","269.03","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_003.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_003.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm groupdro --steps 1000 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --groupdro_eta 0.1 --save_ckpts"
"4","domain_count_clean_seed3.txt","success","0","2026-08-29T20:31:54.1805381+02:00","2026-08-29T20:57:02.9113269+02:00","1508.73","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_004.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_004.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm iro --steps 600 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"5","domain_count_clean_seed3.txt","success","0","2026-08-29T20:57:02.9426784+02:00","2026-08-29T21:00:24.2172059+02:00","201.27","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_005.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_005.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm inftask --steps 600 --train_envs 0.1,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"6","domain_count_clean_seed3.txt","success","0","2026-08-29T21:00:24.2172059+02:00","2026-08-29T21:04:42.9581729+02:00","258.74","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_006.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_006.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm erm --steps 600 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 0"
"7","domain_count_clean_seed3.txt","success","0","2026-08-29T21:04:42.9689849+02:00","2026-08-29T21:08:59.0073563+02:00","256.04","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_007.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_007.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm irm --steps 600 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --penalty_weight 1000 --save_ckpts"
"8","domain_count_clean_seed3.txt","success","0","2026-08-29T21:08:59.0157763+02:00","2026-08-29T21:13:17.6709477+02:00","258.66","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_008.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_008.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm groupdro --steps 1000 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --groupdro_eta 0.1 --save_ckpts"
"9","domain_count_clean_seed3.txt","success","0","2026-08-29T21:13:17.6709477+02:00","2026-08-29T21:42:35.3665463+02:00","1757.7","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_009.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_009.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm iro --steps 600 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
"10","domain_count_clean_seed3.txt","success","0","2026-08-29T21:42:35.3822100+02:00","2026-08-29T21:46:02.5283493+02:00","207.15","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_010.out.txt","C:\Users\320257223\PycharmProjects\domain_gen_IL\CMNIST\job_scripts\seed34_job_010.err.txt","python train_sandbox.py --data_dir ..\data --output_dir ..\results\cmnist_domain_count_clean_v1 --exp_name domain_count_clean --lr 0.0001 --batch_size 25000 --dropout_p 0.2 --seed 3 --algorithm inftask --steps 600 --train_envs 0.1,0.2,0.5,0.9 --test_envs 0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0 --erm_pretrain_iters 400 --lr_cos_sched --save_ckpts"
