0.0_acc_best,0.0_acc_final,0.0_loss_best,0.0_loss_final,0.1_acc_best,0.1_acc_final,0.1_loss_best,0.1_loss_final,0.2_acc_best,0.2_acc_final,0.2_loss_best,0.2_loss_final,0.3_acc_best,0.3_acc_final,0.3_loss_best,0.3_loss_final,0.4_acc_best,0.4_acc_final,0.4_loss_best,0.4_loss_final,0.5_acc_best,0.5_acc_final,0.5_loss_best,0.5_loss_final,0.6_acc_best,0.6_acc_final,0.6_loss_best,0.6_loss_final,0.7_acc_best,0.7_acc_final,0.7_loss_best,0.7_loss_final,0.8_acc_best,0.8_acc_final,0.8_loss_best,0.8_loss_final,0.9_acc_best,0.9_acc_final,0.9_loss_best,0.9_loss_final,1.0_acc_best,1.0_acc_final,1.0_loss_best,1.0_loss_final,algorithm,args_id,seed,exp_name,train_envs,train_env_sizes,n_train_domains,sample_size_per_domain,imbalance_type,phase,avg_domain_acc_best,worst_domain_acc_best,best_domain_acc_best,avg_domain_acc_final,worst_domain_acc_final,best_domain_acc_final,arg_algorithm,arg_alpha,arg_batch_size,arg_data_dir,arg_deterministic,arg_dropout_p,arg_erm_pretrain_iters,arg_eval_freq,arg_exp_name,arg_full_resolution,arg_groupdro_eta,arg_loss_fn,arg_lr,arg_lr_cos_sched,arg_lr_factor_reduction,arg_mlp_hidden_dim,arg_n_workers,arg_network,arg_other_arg,arg_output_dir,arg_penalty_weight,arg_save_ckpts,arg_steps,arg_test_env_ms,arg_test_envs,arg_train_env_ps,arg_train_env_size_mode,arg_train_env_sizes,arg_train_env_sizes_parsed,arg_train_envs,arg_weight_decay
0.7188,0.7174,0.5994733273983002,0.6030355989933014,0.7154,0.7089,0.6049156785011292,0.6139793694019318,0.7148,0.7043,0.6035379767417908,0.6202265620231628,0.7116,0.6998,0.6122641861438751,0.6375789046287537,0.7107,0.6961,0.6175054907798767,0.6521822214126587,0.7162,0.697,0.612648218870163,0.6543919742107391,0.6997,0.6803,0.6401776373386383,0.6934993267059326,0.6967,0.6721,0.6466534733772278,0.7040251791477203,0.7106,0.6756,0.6364820301532745,0.7045580446720123,0.7137,0.6798,0.6279919445514679,0.7016980051994324,0.7043,0.6664,0.6486775875091553,0.7316132485866547,groupdro,edde2a2c7005f421a9fbe50b5df9e805,0,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.7102272727272727,0.6967,0.7188,0.6907000000000001,0.6664,0.7174,groupdro,0.4,25000,../data,False,0.2,400,50,e0_repro_small,False,0.1,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,True,1000,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.6768,0.6768,0.643227756023407,0.6432277262210846,0.6854,0.6854,0.6416520476341248,0.6416520178318024,0.686,0.686,0.641679435968399,0.6416794955730438,0.6907,0.6907,0.6199818253517151,0.6199818253517151,0.6903,0.6903,0.6191832423210144,0.6191832721233368,0.7028,0.7028,0.6112898290157318,0.6112898290157318,0.6851,0.6851,0.6232615113258362,0.6232614815235138,0.6837,0.6837,0.625433474779129,0.625433474779129,0.701,0.701,0.6113311648368835,0.6113311350345612,0.6985,0.6985,0.6119339466094971,0.6119339466094971,0.6904,0.6904,0.6191945672035217,0.619194507598877,iro,603841a4e01bcd07a7ee0d58b7fd7e5b,0,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.6900636363636364,0.6768,0.7028,0.6900636363636364,0.6768,0.7028,iro,0.4,25000,../data,False,0.2,400,50,e0_repro_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,True,600,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.7602,0.7549,0.4810497313737869,0.5195153653621674,0.7491,0.7378,0.5074209421873093,0.5452406406402588,0.7407,0.73,0.5309411585330963,0.5675227642059326,0.7315,0.7162,0.5606490075588226,0.6092146933078766,0.7235,0.6992,0.586906224489212,0.6370002329349518,0.7219,0.6907,0.5984852612018585,0.6609917283058167,0.7023,0.6742,0.640094518661499,0.7068187296390533,0.6934,0.6612,0.6671735048294067,0.7315258085727692,0.6893,0.6513,0.6866665482521057,0.7594877481460571,0.6907,0.6482,0.697311669588089,0.7715255618095398,0.6724,0.626,0.7348661422729492,0.8162932395935059,erm,f45326f5b38b7a46c1da64c6befa6ed2,0,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.7159090909090908,0.6724,0.7602,0.6899727272727273,0.626,0.7549,erm,0.4,25000,../data,False,0.2,0,50,e0_repro_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,False,600,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.7606,0.7526,0.47826148569583893,0.5197608172893524,0.7536,0.7387,0.5062254965305328,0.5481483638286591,0.744,0.7263,0.5295867621898651,0.5710721611976624,0.7313,0.7126,0.5541756749153137,0.6057453453540802,0.7226,0.7004,0.5843795835971832,0.6359394788742065,0.7207,0.6941,0.5976129174232483,0.6536490619182587,0.6989,0.6684,0.6408514976501465,0.7092025578022003,0.6886,0.6547,0.6652041673660278,0.736186295747757,0.6919,0.6556,0.6812047064304352,0.7530190050601959,0.6929,0.6473,0.692277580499649,0.7674024701118469,0.6745,0.6266,0.7316126525402069,0.8140502274036407,erm,f45326f5b38b7a46c1da64c6befa6ed2,0,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.7163272727272727,0.6745,0.7606,0.6888454545454544,0.6266,0.7526,erm,0.4,25000,../data,False,0.2,0,50,e0_repro_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,False,600,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.9999,0.9999,0.2761726975440979,0.2761726528406143,0.8998,0.8998,0.3778298646211624,0.3778298646211624,0.7945,0.7945,0.49002665281295776,0.4900266230106354,0.6995,0.6995,0.5915455520153046,0.5915455520153046,0.6025,0.6025,0.7183396816253662,0.7183396816253662,0.507,0.507,0.8318776190280914,0.8318776190280914,0.4067,0.4067,0.9730828404426575,0.9730828702449799,0.3092,0.3092,1.102047324180603,1.1020472049713135,0.2062,0.2062,1.2224131226539612,1.2224131226539612,0.1083,0.1083,1.3429067730903625,1.3429067730903625,0.0081,0.0081,1.475321888923645,1.4753219485282898,iro,ddf11553002839f1b35279a96ee69303,0,e1_domain_count_small,"[0.1, 0.2]",,2,,,domain_count,0.5037909090909091,0.0081,0.9999,0.5037909090909091,0.0081,0.9999,iro,0.4,25000,../data,False,0.2,400,50,e1_domain_count_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,True,600,0.9,"0.1,0.5,0.9","[0.1, 0.2]",random,,,"0.1,0.2",0
0.9245,0.9254,0.1962255761027336,0.19313669949769974,0.8563,0.858,0.34897351264953613,0.34844493865966797,0.7803,0.7803,0.5345421433448792,0.5366792678833008,0.7169,0.7164,0.6699213087558746,0.6744460463523865,0.638,0.6369,0.8536643087863922,0.8611029982566833,0.574,0.5717,0.9755838811397552,0.9852761924266815,0.4961,0.494,1.1670426726341248,1.1792945265769958,0.4292,0.4262,1.336721420288086,1.3517054319381714,0.3555,0.3509,1.4802388548851013,1.497830092906952,0.287,0.2821,1.6172536611557007,1.6371208429336548,0.2115,0.2053,1.8106808066368103,1.833381175994873,groupdro,f3a3a40263e3d997717e230099e97bf8,0,e1_domain_count_small,"[0.1, 0.2]",,2,,,domain_count,0.5699363636363636,0.2115,0.9245,0.5679272727272727,0.2053,0.9254,groupdro,0.4,25000,../data,False,0.2,400,50,e1_domain_count_small,False,0.1,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,True,1000,0.9,"0.1,0.5,0.9","[0.1, 0.2]",random,,,"0.1,0.2",0
0.965,0.965,0.14692088216543198,0.14692088216543198,0.875,0.875,0.31669454276561737,0.31669455766677856,0.7901,0.7901,0.4972687214612961,0.49726875126361847,0.708,0.708,0.6479487121105194,0.6479487121105194,0.6235,0.6235,0.8186682760715485,0.8186683058738708,0.5341,0.5341,0.9863542318344116,0.9863541126251221,0.4495,0.4495,1.1687498688697815,1.1687499284744263,0.3639,0.3639,1.331677258014679,1.331677258014679,0.2777,0.2777,1.4989976286888123,1.4989976286888123,0.1923,0.1923,1.646754801273346,1.6467548608779907,0.1054,0.1054,1.8404438495635986,1.8404439091682434,erm,a81407765f143ce3b1838fecd9f250e1,0,e1_domain_count_small,"[0.1, 0.2]",,2,,,domain_count,0.5349545454545456,0.1054,0.965,0.5349545454545456,0.1054,0.965,erm,0.4,25000,../data,False,0.2,0,50,e1_domain_count_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,False,600,0.9,"0.1,0.5,0.9","[0.1, 0.2]",random,,,"0.1,0.2",0
0.7643,0.725,0.48126035928726196,0.8585338294506073,0.7503,0.7097,0.5128680467605591,0.9112298786640167,0.7406,0.7014,0.5392305850982666,0.9643078744411469,0.7072,0.6713,0.5958085060119629,1.0858283638954163,0.6916,0.6602,0.6315862834453583,1.1611392498016357,0.6892,0.6523,0.6480710208415985,1.1705679297447205,0.6581,0.6262,0.6958299875259399,1.2725555300712585,0.6415,0.6071,0.7345596551895142,1.3556902408599854,0.6251,0.589,0.7720164060592651,1.4081827998161316,0.6098,0.5771,0.8008713126182556,1.4746485948562622,0.5824,0.5517,0.8489912450313568,1.5530357956886292,erm,314850a30cf0dc91c2dfbb7f2798a1e8,0,e2_sample_size_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 2000]",4,2000.0,balanced,sample_size,0.678190909090909,0.5824,0.7643,0.6428181818181818,0.5517,0.725,erm,0.4,25000,../data,False,0.2,0,50,e2_sample_size_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,False,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,2000","[2000, 2000, 2000, 2000]","0.01,0.12,0.5,0.99",0
0.7063,0.711,0.8315821886062622,0.96135613322258,0.6965,0.6984,0.8547252714633942,1.0031928718090057,0.6817,0.6825,0.9107426702976227,1.0813278555870056,0.6674,0.6642,0.9524289667606354,1.1465968489646912,0.6584,0.6529,0.9788058400154114,1.189537763595581,0.6517,0.6406,1.0142779350280762,1.2474234104156494,0.646,0.637,1.0489574670791626,1.299120545387268,0.6278,0.6189,1.094593107700348,1.3637484908103943,0.6209,0.6107,1.1068665385246277,1.3875845074653625,0.6086,0.5937,1.1678107380867004,1.4796462655067444,0.5977,0.5807,1.2101482152938843,1.5435776710510254,groupdro,486773f360fe481b62d7ef58fd93ec95,0,e2_sample_size_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 2000]",4,2000.0,balanced,sample_size,0.6511818181818181,0.5977,0.7063,0.6446000000000001,0.5807,0.711,groupdro,0.4,25000,../data,False,0.2,400,50,e2_sample_size_small,False,0.1,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,True,1000,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,2000","[2000, 2000, 2000, 2000]","0.01,0.12,0.5,0.99",0
0.6962,0.6983,0.6238516271114349,0.6202597916126251,0.694,0.6966,0.6262297034263611,0.6230227947235107,0.6968,0.6986,0.6257085800170898,0.6228873133659363,0.6866,0.6891,0.621085524559021,0.6196146607398987,0.6831,0.6847,0.6240899562835693,0.6236165761947632,0.6869,0.6862,0.6262812912464142,0.6265566051006317,0.6726,0.6725,0.632601797580719,0.6336628198623657,0.678,0.6776,0.6308667063713074,0.6327729225158691,0.6753,0.6742,0.6334040462970734,0.6362791061401367,0.6712,0.669,0.6383702158927917,0.6421068906784058,0.668,0.6653,0.6436823308467865,0.6483994722366333,iro,3e6af44dc9ea469b5070f0f73f61d520,0,e2_sample_size_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 2000]",4,2000.0,balanced,sample_size,0.6826090909090909,0.668,0.6968,0.6829181818181819,0.6653,0.6986,iro,0.4,25000,../data,False,0.2,400,50,e2_sample_size_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small,1000,True,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,2000","[2000, 2000, 2000, 2000]","0.01,0.12,0.5,0.99",0
