algorithm,seed,exp_name,phase,args_id,n_train_domains,sample_size_per_domain,imbalance_type,train_envs,train_env_sizes,test_env,metric,model_selection,value
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,best,0.7485
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,final,0.7384
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,best,0.49387481808662415
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,final,0.5433683395385742
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,best,0.7501
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,final,0.7374
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,best,0.5128834247589111
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,final,0.5656082034111023
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,best,0.7366
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,final,0.7199
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,best,0.5379906892776489
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,final,0.591737300157547
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,best,0.7257
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,final,0.709
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,best,0.5702797174453735
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,final,0.6241747140884399
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,best,0.7223
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,final,0.7019
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,best,0.5850648283958435
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,final,0.6369031071662903
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,best,0.71
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,final,0.6851
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,best,0.6194813549518585
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,final,0.6731924712657928
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,acc,best,0.7121
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,acc,final,0.6883
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,loss,best,0.6292306482791901
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,loss,final,0.6849100887775421
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,acc,best,0.6984
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,acc,final,0.6772
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,loss,best,0.6629562079906464
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,loss,final,0.7150741815567017
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,acc,best,0.6846
