0.0_acc_best,0.0_acc_final,0.0_loss_best,0.0_loss_final,0.1_acc_best,0.1_acc_final,0.1_loss_best,0.1_loss_final,0.2_acc_best,0.2_acc_final,0.2_loss_best,0.2_loss_final,0.3_acc_best,0.3_acc_final,0.3_loss_best,0.3_loss_final,0.4_acc_best,0.4_acc_final,0.4_loss_best,0.4_loss_final,0.5_acc_best,0.5_acc_final,0.5_loss_best,0.5_loss_final,0.6_acc_best,0.6_acc_final,0.6_loss_best,0.6_loss_final,0.7_acc_best,0.7_acc_final,0.7_loss_best,0.7_loss_final,0.8_acc_best,0.8_acc_final,0.8_loss_best,0.8_loss_final,0.9_acc_best,0.9_acc_final,0.9_loss_best,0.9_loss_final,1.0_acc_best,1.0_acc_final,1.0_loss_best,1.0_loss_final,algorithm,args_id,seed,exp_name,train_envs,train_env_sizes,n_train_domains,sample_size_per_domain,imbalance_type,phase,avg_domain_acc_best,worst_domain_acc_best,best_domain_acc_best,avg_domain_acc_final,worst_domain_acc_final,best_domain_acc_final,arg_algorithm,arg_alpha,arg_batch_size,arg_data_dir,arg_deterministic,arg_dropout_p,arg_erm_pretrain_iters,arg_eval_freq,arg_exp_name,arg_full_resolution,arg_groupdro_eta,arg_loss_fn,arg_lr,arg_lr_cos_sched,arg_lr_factor_reduction,arg_mlp_hidden_dim,arg_n_workers,arg_network,arg_other_arg,arg_output_dir,arg_penalty_weight,arg_save_ckpts,arg_steps,arg_test_env_ms,arg_test_envs,arg_train_env_ps,arg_train_env_size_mode,arg_train_env_sizes,arg_train_env_sizes_parsed,arg_train_envs,arg_weight_decay
0.7485,0.7384,0.49387481808662415,0.5433683395385742,0.7501,0.7374,0.5128834247589111,0.5656082034111023,0.7366,0.7199,0.5379906892776489,0.591737300157547,0.7257,0.709,0.5702797174453735,0.6241747140884399,0.7223,0.7019,0.5850648283958435,0.6369031071662903,0.71,0.6851,0.6194813549518585,0.6731924712657928,0.7121,0.6883,0.6292306482791901,0.6849100887775421,0.6984,0.6772,0.6629562079906464,0.7150741815567017,0.6846,0.6603,0.6908778250217438,0.7417231798171997,0.6723,0.6453,0.725504457950592,0.7781716883182526,0.6692,0.6424,0.7417880594730377,0.7906194627285004,erm,465f87468db1774cf04dfd38b990a68d,1,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.7118,0.6692,0.7501,0.6913818181818182,0.6424,0.7384,erm,0.4,25000,../data,True,0.2,0,50,e0_repro_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,False,600,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.6879,0.6879,0.6327430605888367,0.6327430605888367,0.6925,0.6925,0.6314139664173126,0.6314139366149902,0.6982,0.6982,0.6280660629272461,0.6280660331249237,0.6971,0.6971,0.6140806376934052,0.6140806078910828,0.7018,0.7018,0.6090794205665588,0.6090794205665588,0.6947,0.6947,0.6144210696220398,0.6144210696220398,0.6969,0.6969,0.6133268475532532,0.6133268475532532,0.6971,0.6971,0.6127512156963348,0.6127512156963348,0.6812,0.6812,0.6212736964225769,0.6212737262248993,0.6917,0.6917,0.6184906661510468,0.6184906959533691,0.69,0.69,0.6193161308765411,0.6193161606788635,iro,1d798d5783c0eea4eddae0cbb2e2ea85,1,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.6935545454545454,0.6812,0.7018,0.6935545454545454,0.6812,0.7018,iro,0.4,25000,../data,True,0.2,400,50,e0_repro_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,600,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.7142,0.7084,0.6102972030639648,0.6233906149864197,0.7151,0.7064,0.6110125780105591,0.6299382448196411,0.72,0.7093,0.6075044870376587,0.6346561312675476,0.7143,0.7044,0.6141875386238098,0.6448626816272736,0.716,0.7014,0.6119978427886963,0.6447452902793884,0.7116,0.6955,0.6318037509918213,0.6759899258613586,0.7067,0.689,0.6343954205513,0.6865280568599701,0.7167,0.6957,0.6254139840602875,0.6787954866886139,0.7031,0.6788,0.6429643630981445,0.7078430354595184,0.6956,0.6701,0.6514359712600708,0.7213369607925415,0.6976,0.6715,0.6517682373523712,0.7239034175872803,groupdro,6a7e57a240d1f48c755b324c9edd43bb,1,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.7100818181818181,0.6956,0.72,0.6936818181818182,0.6701,0.7093,groupdro,0.4,25000,../data,True,0.2,400,50,e0_repro_small,False,0.1,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,1000,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.9655,0.9655,0.14715126901865005,0.14715126156806946,0.8821,0.8821,0.30861586332321167,0.30861586332321167,0.7947,0.7947,0.4780140519142151,0.4780140519142151,0.7081,0.7081,0.6545634269714355,0.6545633673667908,0.6243,0.6243,0.8018247783184052,0.8018247783184052,0.5294,0.5294,1.0043566524982452,1.0043566823005676,0.4446,0.4446,1.162314236164093,1.162314236164093,0.3528,0.3528,1.3358875513076782,1.3358874917030334,0.2702,0.2702,1.5068323612213135,1.5068323016166687,0.1781,0.1781,1.6955593824386597,1.6955594420433044,0.0927,0.0927,1.8491125702857971,1.849112629890442,erm,c91564d904e399904f7b42e39038b789,1,e1_domain_count_small,"[0.1, 0.2]",,2,,,domain_count,0.5311363636363636,0.0927,0.9655,0.5311363636363636,0.0927,0.9655,erm,0.4,25000,../data,True,0.2,0,50,e1_domain_count_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,False,600,0.9,"0.1,0.5,0.9","[0.1, 0.2]",random,,,"0.1,0.2",0
0.9228,0.924,0.1967882215976715,0.19325341284275055,0.8516,0.8519,0.36107344925403595,0.36267510056495667,0.7897,0.7901,0.5096732527017593,0.5159292817115784,0.711,0.7095,0.6738864183425903,0.6850423514842987,0.6452,0.6445,0.811246931552887,0.8267510533332825,0.5606,0.5594,1.029310941696167,1.0511795282363892,0.4977,0.4964,1.1444865465164185,1.1707132458686829,0.4211,0.4172,1.325028896331787,1.3569541573524475,0.3474,0.3431,1.5085132718086243,1.5457502007484436,0.2781,0.272,1.6330496072769165,1.6736825108528137,0.2071,0.2023,1.810581624507904,1.8575013875961304,groupdro,56998415af14fba68abb7fe3bf9f79ae,1,e1_domain_count_small,"[0.1, 0.2]",,2,,,domain_count,0.5665727272727273,0.2071,0.9228,0.5645818181818183,0.2023,0.924,groupdro,0.4,25000,../data,True,0.2,400,50,e1_domain_count_small,False,0.1,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,1000,0.9,"0.1,0.5,0.9","[0.1, 0.2]",random,,,"0.1,0.2",0
0.9981,0.9981,0.25869083404541016,0.25869084894657135,0.897,0.897,0.3640502989292145,0.3640502989292145,0.7994,0.7994,0.46708783507347107,0.46708783507347107,0.7006,0.7006,0.5908405482769012,0.5908405482769012,0.6117,0.6117,0.7002459168434143,0.7002458572387695,0.5009,0.5009,0.8390413820743561,0.8390414118766785,0.4062,0.4062,0.958563894033432,0.958563894033432,0.3043,0.3043,1.0886093974113464,1.0886092782020569,0.2109,0.2109,1.2155070900917053,1.2155070900917053,0.1093,0.1093,1.344890534877777,1.3448904752731323,0.0122,0.0122,1.4638116955757141,1.4638116955757141,iro,a9cdb84b03801b26e0a1345e28a17641,1,e1_domain_count_small,"[0.1, 0.2]",,2,,,domain_count,0.5045999999999999,0.0122,0.9981,0.5045999999999999,0.0122,0.9981,iro,0.4,25000,../data,True,0.2,400,50,e1_domain_count_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,600,0.9,"0.1,0.5,0.9","[0.1, 0.2]",random,,,"0.1,0.2",0
0.7208,0.7211,0.6126701533794403,0.6111021339893341,0.7126,0.7134,0.6176799237728119,0.6162908673286438,0.7071,0.7081,0.6217637062072754,0.6203548312187195,0.6991,0.6979,0.6128931939601898,0.6125178039073944,0.6914,0.6907,0.6200766861438751,0.6201209127902985,0.6929,0.6927,0.6150034666061401,0.6147751212120056,0.6746,0.6748,0.6282515227794647,0.6287409067153931,0.6716,0.6713,0.6376122236251831,0.6384422481060028,0.6535,0.6545,0.6489951312541962,0.6503218114376068,0.6552,0.6547,0.6436154842376709,0.6448436975479126,0.6483,0.649,0.6537905037403107,0.6551682651042938,iro,cf2f9003258b81747cd521566c8dafb3,1,e2_sample_size_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 2000]",4,2000.0,balanced,sample_size,0.6842818181818181,0.6483,0.7208,0.6843818181818182,0.649,0.7211,iro,0.4,25000,../data,True,0.2,400,50,e2_sample_size_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,2000","[2000, 2000, 2000, 2000]","0.01,0.12,0.5,0.99",0
0.7776,0.7494,0.469279021024704,0.7840173542499542,0.7622,0.7292,0.5021029412746429,0.8426766395568848,0.7462,0.7108,0.5418379306793213,0.9219646453857422,0.7156,0.6788,0.5904715955257416,1.0657156705856323,0.6961,0.6589,0.6307691931724548,1.1445372104644775,0.6707,0.6323,0.67152538895607,1.233062505722046,0.6562,0.6166,0.6989296972751617,1.2896002531051636,0.6309,0.5911,0.7534447610378265,1.3844082355499268,0.6107,0.5674,0.7858588099479675,1.4727630615234375,0.5941,0.5515,0.8132832646369934,1.5430877208709717,0.5662,0.525,0.8677036464214325,1.6655645966529846,erm,c61e8dae80915b9a9134c9a1518c211c,1,e2_sample_size_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 2000]",4,2000.0,balanced,sample_size,0.6751363636363636,0.5662,0.7776,0.6373636363636364,0.525,0.7494,erm,0.4,25000,../data,True,0.2,0,50,e2_sample_size_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,False,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,2000","[2000, 2000, 2000, 2000]","0.01,0.12,0.5,0.99",0
0.7256,0.7311,0.7506987452507019,0.8604483306407928,0.7086,0.7116,0.8055031001567841,0.940302699804306,0.6933,0.6946,0.8700788021087646,1.0292000770568848,0.6857,0.6802,0.880303293466568,1.0530644059181213,0.6682,0.665,0.9324023425579071,1.1218956112861633,0.6438,0.638,1.0374919772148132,1.2644405364990234,0.6332,0.6223,1.0637073516845703,1.309942364692688,0.6211,0.6101,1.1189926862716675,1.391028881072998,0.6062,0.5927,1.1617502570152283,1.449929118156433,0.5968,0.5809,1.2026515007019043,1.5108168721199036,0.5772,0.5604,1.251896619796753,1.5773921012878418,groupdro,e3dd2150b41346c4e66b53755c1dbad4,1,e2_sample_size_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 2000]",4,2000.0,balanced,sample_size,0.6508818181818182,0.5772,0.7256,0.6442636363636364,0.5604,0.7311,groupdro,0.4,25000,../data,True,0.2,400,50,e2_sample_size_small,False,0.1,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,1000,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,2000","[2000, 2000, 2000, 2000]","0.01,0.12,0.5,0.99",0
0.67,0.6734,0.6472376883029938,0.6446655988693237,0.6749,0.6772,0.6445830464363098,0.6422525644302368,0.6788,0.6807,0.6432850956916809,0.6411233842372894,0.6697,0.6723,0.6331950426101685,0.6310860812664032,0.6718,0.6731,0.6290580928325653,0.627528965473175,0.6825,0.6847,0.6190784573554993,0.6179279088973999,0.6837,0.6842,0.6176442205905914,0.6172572374343872,0.6873,0.6879,0.6162514388561249,0.6166433990001678,0.6816,0.6814,0.6157947778701782,0.6169497668743134,0.7023,0.7002,0.601780116558075,0.6032299101352692,0.7025,0.7005,0.601628988981247,0.6037146747112274,iro,aee9a6c869c5d2e09a8e7c16a68e09aa,1,e3_imbalance_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 8000]",4,,last_domain_heavy_mild,imbalance,0.6822818181818181,0.6697,0.7025,0.6832363636363635,0.6723,0.7005,iro,0.4,25000,../data,True,0.2,400,50,e3_imbalance_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,8000","[2000, 2000, 2000, 8000]","0.01,0.12,0.5,0.99",0
