alpha,epsilon,numerical_width,theoretical_width,absolute_error
0.5,0.0,0.0,0.0,0.0
0.5,0.05,0.10000000000000009,0.1,8.326672684688674e-17
0.5,0.1,0.19999999999999996,0.2,5.551115123125783e-17
0.5,0.2,0.3999999999999999,0.4,1.1102230246251565e-16
0.5,0.3,0.6000000000000001,0.6,1.1102230246251565e-16
0.75,0.0,0.0,0.0,0.0
0.75,0.05,0.20000000000000018,0.2,1.6653345369377348e-16
0.75,0.1,0.3999999999999999,0.4,1.1102230246251565e-16
0.75,0.2,0.7999999999999998,0.8,2.220446049250313e-16
0.75,0.3,1.0,1.0,0.0
0.9,0.0,0.0,0.0,0.0
0.9,0.05,0.5000000000000006,0.5000000000000001,4.440892098500626e-16
0.9,0.1,1.0,1.0,0.0
0.9,0.2,1.0,1.0,0.0
0.9,0.3,1.0,1.0,0.0
