algorithm,seed,condition,alpha,lower_cvar,deployment_cvar,upper_cvar,id_width
erm,0,missing_tail,0.9,0.45330000000000004,0.755,1.0,0.5467
erm,1,missing_tail,0.9,0.449,0.7792000000000001,1.0,0.5509999999999999
erm,2,missing_tail,0.9,0.44930000000000003,0.7587000000000002,1.0,0.5507
erm,3,missing_tail,0.9,0.4587,0.7589,1.0,0.5413
erm,4,missing_tail,0.9,0.45799999999999996,0.7854,1.0,0.542
groupdro,0,missing_tail,0.9,0.45030000000000003,0.7434000000000001,1.0,0.5497
groupdro,1,missing_tail,0.9,0.4447,0.7674,1.0,0.5553
groupdro,2,missing_tail,0.9,0.44810000000000005,0.759,1.0,0.5519
groupdro,3,missing_tail,0.9,0.4563000000000001,0.7539,1.0,0.5436999999999999
groupdro,4,missing_tail,0.9,0.4567,0.7787999999999999,1.0,0.5433
inftask,0,missing_tail,0.9,0.3819,0.5438000000000001,1.0,0.6181
inftask,1,missing_tail,0.9,0.38029999999999997,0.5418000000000001,1.0,0.6197
inftask,2,missing_tail,0.9,0.38460000000000005,0.5475,1.0,0.6154
inftask,3,missing_tail,0.9,0.39690000000000003,0.5771999999999999,1.0,0.6031
inftask,4,missing_tail,0.9,0.39059999999999995,0.587,1.0,0.6094
irm,0,missing_tail,0.9,0.38939999999999997,0.5591999999999999,1.0,0.6106
irm,1,missing_tail,0.9,0.3741,0.5187999999999999,1.0,0.6259
irm,2,missing_tail,0.9,0.39459999999999995,0.6054999999999999,1.0,0.6054
irm,3,missing_tail,0.9,0.40569999999999995,0.6195999999999999,1.0,0.5943
irm,4,missing_tail,0.9,0.3849000000000001,0.5707,1.0,0.6151
iro,0,missing_tail,0.9,0.3862,0.5585,1.0,0.6138
iro,1,missing_tail,0.9,0.3721,0.5482,1.0,0.6279
iro,2,missing_tail,0.9,0.3813,0.5677,1.0,0.6187
iro,3,missing_tail,0.9,0.39320000000000005,0.5751,1.0,0.6068
iro,4,missing_tail,0.9,0.39210000000000006,0.5956,1.0,0.6078999999999999
