algorithm,condition,group_by,metric,records,mean_ok,std_ok,actual_mean,summary_mean,actual_std,summary_std
erm,balanced,imbalance_type,worst_domain_acc_best,5,True,True,0.61276,0.61276,0.01736657709509851,0.017366577095098513
erm,balanced,imbalance_type,avg_domain_acc_best,5,True,True,0.6851018181818181,0.6851018181818181,0.0046374259032640405,0.004637425903264038
erm,balanced,imbalance_type,best_domain_acc_best,5,True,True,0.7579,0.7579,0.005705698905480369,0.005705698905480355
groupdro,balanced,imbalance_type,worst_domain_acc_best,5,True,True,0.6048199999999999,0.6048199999999999,0.014699047588194271,0.014699047588194238
groupdro,balanced,imbalance_type,avg_domain_acc_best,5,True,True,0.6516709090909091,0.6516709090909091,0.0010084232025156228,0.001008423202515637
groupdro,balanced,imbalance_type,best_domain_acc_best,5,True,True,0.6988999999999999,0.6989,0.010494522380746997,0.010494522380747011
inftask,balanced,imbalance_type,worst_domain_acc_best,5,True,True,0.65464,0.65464,0.009895099797374454,0.009895099797374445
inftask,balanced,imbalance_type,avg_domain_acc_best,5,True,True,0.6698818181818182,0.6698818181818182,0.008961831369067585,0.00896183136906757
inftask,balanced,imbalance_type,best_domain_acc_best,5,True,True,0.68656,0.68656,0.0194899461261441,0.0194899461261441
irm,balanced,imbalance_type,worst_domain_acc_best,5,True,True,0.6246,0.6246,0.01824116224367297,0.01824116224367298
irm,balanced,imbalance_type,avg_domain_acc_best,5,True,True,0.6632763636363637,0.6632763636363637,0.0034065238820060947,0.003406523882006098
irm,balanced,imbalance_type,best_domain_acc_best,5,True,True,0.7023,0.7022999999999999,0.010669114302508928,0.010669114302508923
iro,balanced,imbalance_type,worst_domain_acc_best,5,True,True,0.6589400000000001,0.6589400000000001,0.005096371258061978,0.005096371258061993
iro,balanced,imbalance_type,avg_domain_acc_best,5,True,True,0.6743290909090909,0.6743290909090909,0.007706676830424069,0.007706676830424068
iro,balanced,imbalance_type,best_domain_acc_best,5,True,True,0.68928,0.68928,0.013833546183101437,0.013833546183101455
