n_train_domains,algorithm,worst_domain_acc_best_mean,worst_domain_acc_best_std,worst_domain_acc_best_count,avg_domain_acc_best_mean,avg_domain_acc_best_std,avg_domain_acc_best_count,best_domain_acc_best_mean,best_domain_acc_best_std,best_domain_acc_best_count
2,erm,0.71636,0.001833848412492094,5,0.7236945454545454,0.0018456739681466361,5,0.73094,0.0031437239064523903,5
2,groupdro,0.7071799999999999,0.0033640749099863878,5,0.7146363636363636,0.003461386766471991,5,0.7228,0.004810405388322312,5
2,inftask,0.67424,0.009645361579536566,5,0.685889090909091,0.01101961324335198,5,0.69526,0.012385596473323374,5
2,irm,0.71636,0.001833848412492108,5,0.7236945454545454,0.001845673968146623,5,0.73094,0.003143723906452372,5
2,iro,0.67498,0.010538832952466782,5,0.6861945454545455,0.010394091217196734,5,0.69798,0.0102057336825923,5
4,erm,0.66874,0.009375659976769648,5,0.7151527272727273,0.0019105340865495648,5,0.76156,0.004300348823060693,5
4,groupdro,0.69468,0.007023318304049727,5,0.7101690909090909,0.0008667074582474571,5,0.7246,0.004014971979976927,5
4,inftask,0.66734,0.0302932830838785,5,0.6839981818181818,0.014262328869907165,5,0.69738,0.005408049555985953,5
4,irm,0.71222,0.0018498648599289532,5,0.7184418181818182,0.001355225576661084,5,0.7240800000000001,0.0028682747427678794,5
4,iro,0.67938,0.009263746542301322,5,0.6898309090909092,0.008140036245782006,5,0.70102,0.010162529212750104,5
6,erm,0.68894,0.011821717303336232,5,0.720169090909091,0.002027757789503572,5,0.75176,0.006101065480717284,5
6,groupdro,0.69444,0.009650544026115822,5,0.7112509090909092,0.002874399685798584,5,0.72822,0.0067377295879249765,5
6,inftask,0.65354,0.048521366427585276,5,0.68008,0.013443421998930252,5,0.69726,0.0037680233544923323,5
6,irm,0.70778,0.004299069666800017,5,0.7179399999999999,0.0014878238587650887,5,0.72776,0.002000749859427701,5
6,iro,0.67882,0.007043223693735735,5,0.6884127272727273,0.007272555679793944,5,0.69856,0.006287924935938761,5
8,erm,0.7147,0.004132190702278902,5,0.7228236363636364,0.0017177079673673292,5,0.73166,0.0025264599739556414,5
8,groupdro,0.70466,0.00345079700938786,5,0.7129272727272726,0.0005499436485032183,5,0.7212,0.0027504545078949855,5
8,inftask,0.6795199999999999,0.009655412989613638,5,0.6882127272727272,0.009788436844959838,5,0.697,0.00922577909989179,5
8,irm,0.7147,0.004132190702278866,5,0.7228236363636364,0.001717707967367324,5,0.73166,0.002526459973955654,5
8,iro,0.6856,0.00811418511004032,5,0.6918018181818182,0.008852457752763563,5,0.69954,0.010451698426571641,5
