condition,algorithm,seed,lambda,domain_id,train_count,test_accuracy,loss,empirical_weight,deployment_weight,source,alpha_eval,head_domain_id,tail_domain_id,is_head_domain,is_tail_domain
missing_tail,iro,0,,0.1,6000,0.8709,0.49442872405052185,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,iro,0,,0.2,1500,0.7876,0.5433396697044373,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,iro,0,,0.5,500,0.6205,0.655495822429657,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,iro,0,,0.9,0,0.4776,0.7721254527568817,0.0,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,groupdro,2,,0.1,5800,0.8192,0.4895488768815994,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,groupdro,2,,0.2,1800,0.7643,0.7013084292411804,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,groupdro,2,,0.5,350,0.5886,1.3233051896095276,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,groupdro,2,,0.9,50,0.3479,2.1797956228256226,0.00625,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,irm,4,,0.1,2000,0.7019,0.8091652095317841,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,irm,4,,0.2,2000,0.6937,0.8338847756385803,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,irm,4,,0.5,2000,0.6618,0.9536742866039276,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,irm,4,,0.9,2000,0.6182,1.1233750581741333,0.25,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,irm,1,,0.1,5800,0.786,0.5113215446472168,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,irm,1,,0.2,1800,0.7399,0.6378383934497833,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,irm,1,,0.5,350,0.6091,1.0255112051963806,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,irm,1,,0.9,50,0.4502,1.5337592363357544,0.00625,0.25,main_eval,,0.1,0.9,0,1
missing_tail,irm,3,,0.1,6000,0.8217,0.4961618036031723,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,irm,3,,0.2,1500,0.7624,0.7083378732204437,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,irm,3,,0.5,500,0.5969,1.3115653991699219,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,irm,3,,0.9,0,0.3829,2.138326406478882,0.0,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,iro,3,,0.1,2000,0.6603,0.6426626741886139,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,iro,3,,0.2,2000,0.6675,0.6407268941402435,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,iro,3,,0.5,2000,0.6637,0.6336837410926819,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,iro,3,,0.9,2000,0.6684,0.6341187953948975,0.25,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,erm,3,,0.1,2000,0.7308,0.5493734776973724,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,erm,3,,0.2,2000,0.7269,0.5639658868312836,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,3,,0.5,2000,0.6891,0.6312036216259003,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,3,,0.9,2000,0.6484,0.7219231724739075,0.25,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,erm,3,,0.1,5000,0.8328,0.6121051609516144,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,erm,3,,0.2,2000,0.766,0.9459196031093597,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,erm,3,,0.5,800,0.5728,1.911580204963684,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,erm,3,,0.9,200,0.309,3.1926885843276978,0.025,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,irm,0,,0.1,5000,0.7579,0.6206309795379639,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,irm,0,,0.2,2000,0.7217,0.7243998050689697,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,irm,0,,0.5,800,0.6324,0.9836133420467377,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,irm,0,,0.9,200,0.4992,1.3911706805229187,0.025,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,groupdro,0,,0.1,5800,0.8272,0.4866309314966202,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,groupdro,0,,0.2,1800,0.7661,0.7073783278465271,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,groupdro,0,,0.5,350,0.5885,1.3272624611854553,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,groupdro,0,,0.9,50,0.3417,2.231044888496399,0.00625,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,erm,0,,0.1,5000,0.8441,0.5579631328582764,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,erm,0,,0.2,2000,0.7696,0.8754729330539703,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,erm,0,,0.5,800,0.5732,1.7734375596046448,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,erm,0,,0.9,200,0.2859,3.0825310945510864,0.025,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,iro,0,,0.1,5800,0.8137,0.5407412350177765,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,iro,0,,0.2,1800,0.7581,0.5725694894790649,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,iro,0,,0.5,350,0.6099,0.6760015785694122,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,iro,0,,0.9,50,0.4141,0.8831534385681152,0.00625,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,irm,2,,0.1,2000,0.6978,0.8589982986450195,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,irm,2,,0.2,2000,0.6943,0.8527868092060089,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,irm,2,,0.5,2000,0.6618,0.9561666548252106,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,irm,2,,0.9,2000,0.6359,1.067048966884613,0.25,0.25,main_eval,,0.1,0.9,0,1
