checkpoint_path,algorithm,seed,test_env,lambda_used,oracle_lambda,metric,oracle_value,used_value,used_deployment_mean_accuracy,oracle_deployment_mean_accuracy,deployment_wide_pseudo_regret,pseudo_regret,regret_type,true_regret
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.0,0.2,accuracy,0.69154,0.6746,0.6910000000000001,0.69154,0.0005399999999999849,0.0005399999999999849,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.1,0.2,accuracy,0.69154,0.6753,0.6913199999999999,0.69154,0.000220000000000109,0.000220000000000109,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.2,0.2,accuracy,0.69154,0.6748,0.69154,0.69154,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.3,0.2,accuracy,0.69154,0.6724,0.69024,0.69154,0.0013000000000000789,0.0013000000000000789,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.4,0.2,accuracy,0.69154,0.6723,0.68902,0.69154,0.0025200000000000777,0.0025200000000000777,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.5,0.2,accuracy,0.69154,0.6722,0.68982,0.69154,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.6,0.2,accuracy,0.69154,0.6718,0.68952,0.69154,0.0020200000000000218,0.0020200000000000218,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.7,0.2,accuracy,0.69154,0.6735,0.69036,0.69154,0.0011800000000000699,0.0011800000000000699,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.8,0.2,accuracy,0.69154,0.6734,0.69036,0.69154,0.0011800000000000699,0.0011800000000000699,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,0.9,0.2,accuracy,0.69154,0.672,0.69016,0.69154,0.0013800000000000479,0.0013800000000000479,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.0,1.0,0.2,accuracy,0.69154,0.6702,0.6897599999999999,0.69154,0.0017800000000001148,0.0017800000000001148,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.1,0.0,0.2,accuracy,0.69154,0.6765,0.6910000000000001,0.69154,0.0005399999999999849,0.0005399999999999849,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.1,0.1,0.2,accuracy,0.69154,0.6774,0.6913199999999999,0.69154,0.000220000000000109,0.000220000000000109,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.1,0.2,0.2,accuracy,0.69154,0.6769,0.69154,0.69154,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.1,0.3,0.2,accuracy,0.69154,0.6739,0.69024,0.69154,0.0013000000000000789,0.0013000000000000789,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.1,0.4,0.2,accuracy,0.69154,0.6733,0.68902,0.69154,0.0025200000000000777,0.0025200000000000777,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.1,0.5,0.2,accuracy,0.69154,0.673,0.68982,0.69154,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
