algorithm,seed,lambda_used,regret_type,mean_pseudo_regret,worst_pseudo_regret,mean_true_regret,worst_true_regret,test_environments
inftask,0,0.0,same_checkpoint_deployment_wide_lambda_oracle,0.03193999999999997,0.03193999999999997,,,5
inftask,0,0.1,same_checkpoint_deployment_wide_lambda_oracle,0.03084000000000009,0.03084000000000009,,,5
inftask,0,0.2,same_checkpoint_deployment_wide_lambda_oracle,0.029140000000000166,0.029140000000000166,,,5
inftask,0,0.3,same_checkpoint_deployment_wide_lambda_oracle,0.020580000000000043,0.020580000000000043,,,5
inftask,0,0.4,same_checkpoint_deployment_wide_lambda_oracle,0.013560000000000016,0.013560000000000016,,,5
inftask,0,0.5,same_checkpoint_deployment_wide_lambda_oracle,0.008079999999999976,0.008079999999999976,,,5
inftask,0,0.6,same_checkpoint_deployment_wide_lambda_oracle,0.0040200000000000236,0.0040200000000000236,,,5
inftask,0,0.7,same_checkpoint_deployment_wide_lambda_oracle,0.0017200000000000548,0.0017200000000000548,,,5
inftask,0,0.8,same_checkpoint_deployment_wide_lambda_oracle,0.0,0.0,,,5
inftask,0,0.9,same_checkpoint_deployment_wide_lambda_oracle,4.0000000000040004e-05,4.0000000000040004e-05,,,5
inftask,0,1.0,same_checkpoint_deployment_wide_lambda_oracle,0.000340000000000118,0.000340000000000118,,,5
iro,0,0.0,same_checkpoint_deployment_wide_lambda_oracle,0.0005399999999999849,0.0005399999999999849,,,5
iro,0,0.1,same_checkpoint_deployment_wide_lambda_oracle,0.000220000000000109,0.000220000000000109,,,5
iro,0,0.2,same_checkpoint_deployment_wide_lambda_oracle,0.0,0.0,,,5
iro,0,0.3,same_checkpoint_deployment_wide_lambda_oracle,0.0013000000000000789,0.0013000000000000789,,,5
iro,0,0.4,same_checkpoint_deployment_wide_lambda_oracle,0.0025200000000000777,0.0025200000000000777,,,5
iro,0,0.5,same_checkpoint_deployment_wide_lambda_oracle,0.0017200000000000548,0.0017200000000000548,,,5
iro,0,0.6,same_checkpoint_deployment_wide_lambda_oracle,0.0020200000000000218,0.0020200000000000218,,,5
iro,0,0.7,same_checkpoint_deployment_wide_lambda_oracle,0.0011800000000000699,0.0011800000000000699,,,5
iro,0,0.8,same_checkpoint_deployment_wide_lambda_oracle,0.0011800000000000699,0.0011800000000000699,,,5
iro,0,0.9,same_checkpoint_deployment_wide_lambda_oracle,0.0013800000000000479,0.0013800000000000479,,,5
iro,0,1.0,same_checkpoint_deployment_wide_lambda_oracle,0.0017800000000001148,0.0017800000000001148,,,5
