n_domains,sample_size,exponent,missing_mass_epsilon,requested_missing_tail_fraction,alpha,tradeoff,repetitions,analytical_delta_id,simulated_lower_cvar,simulated_upper_cvar,simulated_interval_width,empirical_interval_width_mean,empirical_interval_width_p05,empirical_interval_width_p95,empirical_cvar_lower_mean,empirical_cvar_upper_mean
10,32,0.0,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.06615885779033008,0.0061330409356724295,0.1549668015354289,0.5641730463306399,0.5147661150632811
10,32,0.5,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.08453161052379633,0.00736966326491606,0.18147887544172372,0.49994058996200397,0.5741530300936838
10,32,1.0,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.202296066080682,0.09525145243282498,0.2817468944099379,0.41577230119487135,0.6180683672755534
10,32,2.0,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.39739811662160013,0.3597222222222223,0.4256944444444446,0.25137973509823036,0.6487778517198307
10,32,0.0,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.04553060488836547,0.0032163742690058893,0.1109225589225588,0.5223362513193165,0.5283389736489353
10,32,0.5,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.11499567922092847,0.02694831441348482,0.2124957558781088,0.4681050779877174,0.5814437278011005
10,32,1.0,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.22868885251017457,0.14058901338313112,0.33128015350877194,0.39247338325510384,0.6211622357652784
10,32,2.0,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.40134107862812185,0.36921708937198067,0.4256944444444445,0.24770698529411767,0.6490480639222397
10,32,0.0,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.06941339387091476,0.009859855868627887,0.15063899150642532,0.48186537479545827,0.544676159515056
10,32,0.5,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.15329329616965,0.0663435905763271,0.24241071428571442,0.43674321858337223,0.5900365147530223
