n_domains,sample_size,exponent,missing_tail_fraction,alpha,tradeoff,repetitions,reversal_probability,observed_tail_probability,mean_empirical_tail_weight,mean_deployment_gap,mean_empirical_gap,head_favored_empirical_wins,tail_favored_empirical_wins
10,32,0.0,0.0,0.5,0.5,1000,0.216,0.968,0.099375,0.04999999999999993,0.06615885779033008,216,784
10,32,0.5,0.0,0.5,0.5,1000,0.868,0.88,0.0639375,0.04999999999999993,0.08453161052379633,868,132
10,32,1.0,0.0,0.5,0.5,1000,1.0,0.684,0.0344375,0.04999999999999993,0.202296066080682,1000,0
10,32,2.0,0.0,0.5,0.5,1000,1.0,0.186,0.0064375,0.04999999999999993,0.39739811662160013,1000,0
10,32,0.0,0.1,0.5,0.5,1000,0.552,0.0,0.0,0.04999999999999993,0.04553060488836547,552,448
10,32,0.5,0.1,0.5,0.5,1000,0.972,0.0,0.0,0.04999999999999993,0.11499567922092847,972,28
10,32,1.0,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.22868885251017457,1000,0
10,32,2.0,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.40134107862812185,1000,0
10,32,0.0,0.2,0.5,0.5,1000,0.892,0.0,0.0,0.04999999999999993,0.06941339387091476,892,108
10,32,0.5,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.15329329616965,1000,0
10,32,1.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.25259264848951407,1000,0
10,32,2.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.40351052117409086,1000,0
10,32,0.0,0.3,0.5,0.5,1000,0.994,0.0,0.0,0.04999999999999993,0.11637416385883417,994,6
10,32,0.5,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.19923763544197762,1000,0
10,32,1.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.27951242528967196,1000,0
10,32,2.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.40885201601882454,1000,0
10,128,0.0,0.0,0.5,0.5,1000,0.031,1.0,0.1000390625,0.04999999999999993,0.05104158065923242,31,969
10,128,0.5,0.0,0.5,0.5,1000,0.97,1.0,0.0641171875,0.04999999999999993,0.06942862455370272,970,30
10,128,1.0,0.0,0.5,0.5,1000,1.0,0.986,0.034421875,0.04999999999999993,0.2036833560359627,1000,0
10,128,2.0,0.0,0.5,0.5,1000,1.0,0.562,0.00640625,0.04999999999999993,0.4004891493055556,1000,0
10,128,0.0,0.1,0.5,0.5,1000,0.661,0.0,0.0,0.04999999999999993,0.02212684585244504,661,339
10,128,0.5,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.11282679086293748,1000,0
10,128,1.0,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.2282377439750509,1000,0
10,128,2.0,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.4034453125,1000,0
10,128,0.0,0.2,0.5,0.5,1000,0.995,0.0,0.0,0.04999999999999993,0.06150037157134396,995,5
10,128,0.5,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.1541929809025152,1000,0
10,128,1.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.25383016618844767,1000,0
10,128,2.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.4063919270833334,1000,0
10,128,0.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.11615714028260145,1000,0
10,128,0.5,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.1949489727954788,1000,0
10,128,1.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.2768023799167057,1000,0
10,128,2.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.4106623263888889,1000,0
10,512,0.0,0.0,0.5,0.5,1000,0.0,1.0,0.0993046875,0.04999999999999993,0.04883096483542127,0,1000
