repetition,deployment_winner,empirical_winner,reversal,deployment_gap,empirical_gap,missing_domains,observed_tail,empirical_tail_weight
0,tail_favored,tail_favored,0,0.04999999999999993,0.0821637426900585,0,1,0.0625
1,tail_favored,tail_favored,0,0.04999999999999993,0.04965600275197779,0,1,0.09375
2,tail_favored,tail_favored,0,0.04999999999999993,0.09385964912280692,0,0,0.0
3,tail_favored,head_favored,1,0.04999999999999993,0.021799870045484115,0,1,0.125
4,tail_favored,head_favored,1,0.04999999999999993,0.005068226120857777,0,1,0.09375
5,tail_favored,head_favored,1,0.04999999999999993,0.0004901960784314818,0,1,0.125
6,tail_favored,tail_favored,0,0.04999999999999993,0.1568111455108358,0,1,0.21875
7,tail_favored,tail_favored,0,0.04999999999999993,0.03521630874572057,0,1,0.0625
8,tail_favored,head_favored,1,0.04999999999999993,0.03405954974582437,0,1,0.03125
9,tail_favored,tail_favored,0,0.04999999999999993,0.0006172839506173311,0,1,0.0625
10,tail_favored,head_favored,1,0.04999999999999993,0.11748366013071893,0,0,0.0
11,tail_favored,tail_favored,0,0.04999999999999993,0.00662768031189076,0,1,0.03125
12,tail_favored,tail_favored,0,0.04999999999999993,0.1401234567901234,0,1,0.0625
13,tail_favored,tail_favored,0,0.04999999999999993,0.09634502923976607,0,1,0.125
14,tail_favored,tail_favored,0,0.04999999999999993,0.07160493827160486,0,1,0.125
15,tail_favored,head_favored,1,0.04999999999999993,0.0562869592281357,0,1,0.0625
16,tail_favored,tail_favored,0,0.04999999999999993,0.037472766884531605,0,1,0.1875
17,tail_favored,head_favored,1,0.04999999999999993,0.02976827094474155,0,1,0.09375
18,tail_favored,head_favored,1,0.04999999999999993,0.03333333333333344,0,1,0.0625
19,tail_favored,head_favored,1,0.04999999999999993,0.07500000000000012,0,0,0.0
20,tail_favored,tail_favored,0,0.04999999999999993,0.03518518518518521,0,1,0.0625
21,tail_favored,tail_favored,0,0.04999999999999993,0.0888888888888888,0,1,0.09375
22,tail_favored,head_favored,1,0.04999999999999993,0.011231510147918788,0,1,0.03125
23,tail_favored,tail_favored,0,0.04999999999999993,0.15490196078431373,0,1,0.15625
24,tail_favored,head_favored,1,0.04999999999999993,0.046663226694186544,0,1,0.0625
25,tail_favored,tail_favored,0,0.04999999999999993,0.06977984176126595,0,1,0.0625
26,tail_favored,tail_favored,0,0.04999999999999993,0.07970885323826493,0,1,0.03125
27,tail_favored,tail_favored,0,0.04999999999999993,0.028921568627450878,0,1,0.125
28,tail_favored,head_favored,1,0.04999999999999993,0.039506172839506304,0,1,0.03125
29,tail_favored,tail_favored,0,0.04999999999999993,0.10392156862745094,0,1,0.25
30,tail_favored,head_favored,1,0.04999999999999993,0.024074074074074248,0,0,0.0
31,tail_favored,head_favored,1,0.04999999999999993,0.08076673164392467,0,1,0.03125
32,tail_favored,tail_favored,0,0.04999999999999993,0.13888888888888878,0,1,0.1875
33,tail_favored,head_favored,1,0.04999999999999993,0.05493827160493836,0,1,0.03125
34,tail_favored,head_favored,1,0.04999999999999993,0.09814814814814826,0,1,0.0625
35,tail_favored,tail_favored,0,0.04999999999999993,0.10194358445132429,0,1,0.125
36,tail_favored,tail_favored,0,0.04999999999999993,0.06797385620915031,0,1,0.09375
37,tail_favored,tail_favored,0,0.04999999999999993,0.08752436647173484,0,1,0.125
38,tail_favored,tail_favored,0,0.04999999999999993,0.040740740740740744,0,0,0.0
39,tail_favored,tail_favored,0,0.04999999999999993,0.08183885640025984,0,1,0.125
40,tail_favored,tail_favored,0,0.04999999999999993,0.10376868096166336,0,1,0.0625
41,tail_favored,tail_favored,0,0.04999999999999993,0.1148148148148147,0,1,0.15625
