run,seed,experiment,condition,algorithm,artifact_type,path,bytes
E0_erm,0,E0,balanced,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_erm/manifest.json,83127
E0_erm,0,E0,balanced,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_erm/history.jsonl,226263
E0_erm,0,E0,balanced,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_erm/checkpoints/final.pt,326061938
E0_groupdro,0,E0,balanced,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_groupdro/manifest.json,83132
E0_groupdro,0,E0,balanced,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_groupdro/history.jsonl,382208
E0_groupdro,0,E0,balanced,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_groupdro/checkpoints/final.pt,326062066
E0_inftask,0,E0,balanced,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_inftask/manifest.json,83131
E0_inftask,0,E0,balanced,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_inftask/history.jsonl,301118
E0_inftask,0,E0,balanced,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_inftask/checkpoints/final.pt,326061938
E0_iro,0,E0,balanced,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_iro/manifest.json,83127
E0_iro,0,E0,balanced,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_iro/history.jsonl,403225
E0_iro,0,E0,balanced,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E0_iro/checkpoints/final.pt,326062002
E1_12types_erm,0,E1,12_types,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_erm/manifest.json,630197
E1_12types_erm,0,E1,12_types,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_erm/history.jsonl,480940
E1_12types_erm,0,E1,12_types,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_erm/checkpoints/final.pt,326061938
E1_12types_groupdro,0,E1,12_types,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_groupdro/manifest.json,630202
E1_12types_groupdro,0,E1,12_types,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_groupdro/history.jsonl,922161
E1_12types_groupdro,0,E1,12_types,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_groupdro/checkpoints/final.pt,326062322
E1_12types_inftask,0,E1,12_types,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_inftask/manifest.json,630201
E1_12types_inftask,0,E1,12_types,inftask,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_inftask/history.jsonl,557178
E1_12types_inftask,0,E1,12_types,inftask,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_inftask/checkpoints/final.pt,326061938
E1_12types_iro,0,E1,12_types,iro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_iro/manifest.json,630197
E1_12types_iro,0,E1,12_types,iro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_iro/history.jsonl,650947
E1_12types_iro,0,E1,12_types,iro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_iro/checkpoints/final.pt,326062002
E1_2types_erm,0,E1,2_types,erm,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_erm/manifest.json,581954
E1_2types_erm,0,E1,2_types,erm,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_erm/history.jsonl,163135
E1_2types_erm,0,E1,2_types,erm,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_erm/checkpoints/final.pt,326061938
E1_2types_groupdro,0,E1,2_types,groupdro,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_groupdro/manifest.json,581959
E1_2types_groupdro,0,E1,2_types,groupdro,history,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_groupdro/history.jsonl,256572
E1_2types_groupdro,0,E1,2_types,groupdro,checkpoint,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_groupdro/checkpoints/final.pt,326062002
E1_2types_inftask,0,E1,2_types,inftask,manifest,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_inftask/manifest.json,581958
