run,manifest_id,seed,experiment,condition,protocol,independent_value,algorithm,backbone_mode,steps,batch_size,num_source_domains,total_source_images,final_objective,last100_mean_objective,minimum_objective,final_mean_logged_source_ce,final_worst_logged_source_ce,last100_mean_logged_source_ce,last100_mean_worst_logged_source_ce,adaptive_beta_a_final,adaptive_beta_b_final,checkpoint_selection,checkpoint_path,history_path,manifest_path
E1_12types_erm,5f51f5f63434ae10,0,E1,12_types,mechanism,12,erm,finetune_last_stage,1000,64,12,40000,0.8728840351104736,0.8178476956486702,0.36493462324142456,1.2573294366399448,2.657493829727173,1.4078135436028243,2.7150194442272184,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_erm/manifest.json
E1_12types_groupdro,7943dea9994c95ba,0,E1,12_types,mechanism,12,groupdro,finetune_last_stage,1000,64,12,40000,2.535853862762451,1.9061458367109299,0.5267542004585266,1.528814474741618,2.6744558811187744,1.573979574305316,2.9378727507591247,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_groupdro/manifest.json
E1_12types_inftask,e4874ff1985e966c,0,E1,12_types,mechanism,12,inftask,finetune_last_stage,1000,64,12,40000,1.9337372779846191,1.8003309273719788,1.1259441375732422,1.2936182065556447,2.5034680366516113,1.2263492950393509,2.5276559269428254,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_inftask/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_inftask/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_inftask/manifest.json
E1_12types_iro,17957be759915947,0,E1,12_types,mechanism,12,iro,finetune_last_stage,1000,64,12,40000,1.8600373268127441,1.7957306027412414,1.1026206016540527,1.2527668979018927,2.314206600189209,1.221161318759744,2.531424584388733,0.9999991059303284,1.0,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_iro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_iro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_12types_iro/manifest.json
E1_2types_erm,851a6207fcc1db5a,0,E1,2_types,mechanism,2,erm,finetune_last_stage,1000,64,2,40000,0.9372584223747253,1.0346997821331023,0.5586998462677002,0.9993948936462402,1.2835365533828735,1.084179477393627,1.2490844815969466,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_erm/manifest.json
E1_2types_groupdro,b36db9f059448c77,0,E1,2_types,mechanism,2,groupdro,finetune_last_stage,1000,64,2,40000,1.3470563888549805,1.3209577000141144,0.6134893894195557,1.0263079404830933,1.3494380712509155,1.2284574502706527,1.4095546168088913,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_groupdro/manifest.json
E1_2types_inftask,afda288b86d9209f,0,E1,2_types,mechanism,2,inftask,finetune_last_stage,1000,64,2,40000,1.1958723068237305,1.4718839287757874,0.8088006973266602,1.149865210056305,1.1933629512786865,1.299528686106205,1.4719252049922944,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_inftask/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_inftask/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_inftask/manifest.json
E1_2types_iro,36a4764baeba742f,0,E1,2_types,mechanism,2,iro,finetune_last_stage,1000,64,2,40000,1.232123613357544,1.4751725113391876,0.7890342473983765,1.13790762424469,1.2291219234466553,1.296898910701275,1.475297526717186,0.9999882578849792,1.0,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_iro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_iro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_2types_iro/manifest.json
E1_4types_erm,167bc06f86c7bf08,0,E1,4_types,mechanism,4,erm,finetune_last_stage,1000,64,4,40000,0.8135929107666016,0.7792221957445145,0.3332490622997284,1.0314132794737816,1.9937710762023926,0.9016981083899737,1.500553440451622,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_erm/manifest.json
E1_4types_groupdro,de5f90cff550e8df,0,E1,4_types,mechanism,4,groupdro,finetune_last_stage,1000,64,4,40000,2.3198044300079346,1.5285399621725082,0.26998281478881836,1.4309464693069458,2.321622133255005,1.2452152470499278,1.7851003766059876,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E1_4types_groupdro/manifest.json
