run,manifest_id,seed,experiment,condition,protocol,independent_value,algorithm,backbone_mode,steps,batch_size,num_source_domains,total_source_images,final_objective,last100_mean_objective,minimum_objective,final_mean_logged_source_ce,final_worst_logged_source_ce,last100_mean_logged_source_ce,last100_mean_worst_logged_source_ce,adaptive_beta_a_final,adaptive_beta_b_final,checkpoint_selection,checkpoint_path,history_path,manifest_path
E2_10000pertype_erm,967b4520b0a1830b,0,E2,10000_per_type,mechanism,10000,erm,finetune_last_stage,1000,64,4,40000,0.8135929107666016,0.7792221957445145,0.3332490622997284,1.0314132794737816,1.9937710762023926,0.9016981083899737,1.500553440451622,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_erm/manifest.json
E2_10000pertype_groupdro,3cd9308a6fc02297,0,E2,10000_per_type,mechanism,10000,groupdro,finetune_last_stage,1000,64,4,40000,2.3198044300079346,1.5285399621725082,0.26998281478881836,1.4309464693069458,2.321622133255005,1.2452152470499278,1.7851003766059876,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_groupdro/manifest.json
E2_10000pertype_inftask,dea2f58c8793b58b,0,E2,10000_per_type,mechanism,10000,inftask,finetune_last_stage,1000,64,4,40000,1.630392074584961,1.38799891769886,0.7580477595329285,1.2435797452926636,2.0786094665527344,1.044039206467569,1.5825055897235871,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_inftask/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_inftask/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_inftask/manifest.json
E2_10000pertype_iro,7da4248933f1d15d,0,E2,10000_per_type,mechanism,10000,iro,finetune_last_stage,1000,64,4,40000,1.4975149631500244,1.375458373427391,0.7471672892570496,1.160341501235962,1.8920385837554932,1.0451415887940676,1.5811750638484954,0.9999966025352478,1.0000001192092896,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_iro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_iro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_10000pertype_iro/manifest.json
E2_1000pertype_erm,40d7b7a82437eccb,0,E2,1000_per_type,mechanism,1000,erm,finetune_last_stage,1000,64,4,4000,0.1599961221218109,0.08396117297001184,0.004697115626186132,0.12485210341401398,0.2756420969963074,0.17337077094300185,0.37153186518698933,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_erm/manifest.json
E2_1000pertype_groupdro,6b69562857643b91,0,E2,1000_per_type,mechanism,1000,groupdro,finetune_last_stage,1000,64,4,4000,0.5030052661895752,0.41289591435343026,0.032548438757658005,0.4109826982021332,0.5134531855583191,0.37281772869406266,0.668432050049305,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_groupdro/manifest.json
E2_1000pertype_inftask,264602e67daa4eec,0,E2,1000_per_type,mechanism,1000,inftask,finetune_last_stage,1000,64,4,4000,0.43539851903915405,0.28403547789901495,0.04050622135400772,0.2772021163254976,0.5067553520202637,0.1756554186739959,0.35284227654337885,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_inftask/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_inftask/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_inftask/manifest.json
E2_1000pertype_iro,b34e2391e11d9f25,0,E2,1000_per_type,mechanism,1000,iro,finetune_last_stage,1000,64,4,4000,0.37487277388572693,0.2803012091293931,0.03826503828167915,0.25305399112403393,0.41406717896461487,0.17002360717393458,0.3576897495239973,0.9999878406524658,1.0000020265579224,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_iro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_iro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_1000pertype_iro/manifest.json
E2_5000pertype_erm,3db7ddb13d9585d3,0,E2,5000_per_type,mechanism,5000,erm,finetune_last_stage,1000,64,4,20000,0.6233739852905273,0.5196125295758247,0.19910085201263428,0.8231749907135963,1.9665558338165283,0.6534694222547114,1.1509295773506165,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_erm/manifest.json
E2_5000pertype_groupdro,6cd8597d814e7b04,0,E2,5000_per_type,mechanism,5000,groupdro,finetune_last_stage,1000,64,4,20000,0.6902746558189392,1.0209833228588103,0.2809256315231323,1.1865231692790985,1.5418435335159302,0.990055181235075,1.4890922963619233,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_groupdro/manifest.json
E2_5000pertype_inftask,944bb5269c82d428,0,E2,5000_per_type,mechanism,5000,inftask,finetune_last_stage,1000,64,4,20000,1.3608990907669067,1.1143100368976593,0.46372729539871216,1.0082132518291473,1.6733061075210571,0.8127584649994969,1.2818600842356682,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_inftask/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_inftask/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_inftask/manifest.json
E2_5000pertype_iro,27ab46fbfb6cdd02,0,E2,5000_per_type,mechanism,5000,iro,finetune_last_stage,1000,64,4,20000,1.3289668560028076,1.1041731184720993,0.5654321908950806,0.888990119099617,1.5627247095108032,0.8208325157128274,1.2806317710876465,0.9999935626983643,1.0000001192092896,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_iro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_iro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E2_5000pertype_iro/manifest.json
