run,manifest_id,seed,experiment,condition,protocol,independent_value,algorithm,backbone_mode,steps,batch_size,num_source_domains,total_source_images,final_objective,last100_mean_objective,minimum_objective,final_mean_logged_source_ce,final_worst_logged_source_ce,last100_mean_logged_source_ce,last100_mean_worst_logged_source_ce,adaptive_beta_a_final,adaptive_beta_b_final,checkpoint_selection,checkpoint_path,history_path,manifest_path
E3_balanced_erm,d218283e25b448a1,0,E3,balanced,mechanism,balanced,erm,finetune_last_stage,1000,64,4,40000,0.8135929107666016,0.7792221957445145,0.3332490622997284,1.0314132794737816,1.9937710762023926,0.9016981083899737,1.500553440451622,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_erm/manifest.json
E3_balanced_groupdro,a318c44c15d1ca65,0,E3,balanced,mechanism,balanced,groupdro,finetune_last_stage,1000,64,4,40000,2.3198044300079346,1.5285399621725082,0.26998281478881836,1.4309464693069458,2.321622133255005,1.2452152470499278,1.7851003766059876,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_groupdro/manifest.json
E3_balanced_inftask,8cbead26d2f6b363,0,E3,balanced,mechanism,balanced,inftask,finetune_last_stage,1000,64,4,40000,1.630392074584961,1.38799891769886,0.7580477595329285,1.2435797452926636,2.0786094665527344,1.044039206467569,1.5825055897235871,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_inftask/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_inftask/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_inftask/manifest.json
E3_balanced_iro,7d86ac155ca8ae96,0,E3,balanced,mechanism,balanced,iro,finetune_last_stage,1000,64,4,40000,1.4975149631500244,1.375458373427391,0.7471672892570496,1.160341501235962,1.8920385837554932,1.0451415887940676,1.5811750638484954,0.9999966025352478,1.0000001192092896,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_iro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_iro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_balanced_iro/manifest.json
E3_mild_imbalance_erm,e5e9660533677865,0,E3,mild_imbalance,mechanism,mild_imbalance,erm,finetune_last_stage,1000,64,4,40000,0.8526325225830078,0.8306665346026421,0.4132274091243744,1.0125342160463333,1.284359335899353,0.9084110496938229,1.3977106672525406,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_erm/manifest.json
E3_mild_imbalance_groupdro,4b16969777d6726b,0,E3,mild_imbalance,mechanism,mild_imbalance,groupdro,finetune_last_stage,1000,64,4,40000,1.6146299839019775,1.4219862908124923,0.48620691895484924,1.263370931148529,1.791788935661316,1.146134201399982,1.6497588169574737,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_groupdro/manifest.json
E3_mild_imbalance_inftask,00013983c1f1fc0d,0,E3,mild_imbalance,mechanism,mild_imbalance,inftask,finetune_last_stage,1000,64,4,40000,1.5030455589294434,1.3502541887760162,0.8092126846313477,1.1222707629203796,1.6879854202270508,1.0125916642695665,1.5080905550718307,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_inftask/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_inftask/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_inftask/manifest.json
E3_mild_imbalance_iro,4d72b2e29bfa1eb2,0,E3,mild_imbalance,mechanism,mild_imbalance,iro,finetune_last_stage,1000,64,4,40000,1.2558324337005615,1.3275375938415528,0.7651169300079346,1.0632277727127075,1.4548852443695068,1.014562733853236,1.490313932299614,0.9999960660934448,1.000000238418579,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_iro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_iro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_mild_imbalance_iro/manifest.json
E3_strong_imbalance_erm,3b1b5909a194f508,0,E3,strong_imbalance,mechanism,strong_imbalance,erm,finetune_last_stage,1000,64,4,40000,1.0861992835998535,0.9961460518836975,0.38316720724105835,1.1980999559164047,1.7293422222137451,1.1017955011688172,1.6806452476978302,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_erm/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_erm/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_erm/manifest.json
E3_strong_imbalance_groupdro,1c68d028691a1e95,0,E3,strong_imbalance,mechanism,strong_imbalance,groupdro,finetune_last_stage,1000,64,4,40000,1.5953425168991089,1.533174950480461,0.3752814531326294,1.7492578476667404,2.348985433578491,1.2782769722118974,1.8517317926883698,,,final,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_groupdro/checkpoints/final.pt,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_groupdro/history.jsonl,C:/Users/320257223/PycharmProjects/domain_gen_IL/results/imagenet100c_seed0/E3_strong_imbalance_groupdro/manifest.json
